src_title,db_type,fonds_title,creator,image_title,subjects,names,creation_date,image_number,description,image_url
Title based on content of image.,Photographs,,unknown,Jasper Avenue Looking West From 99 Street,"Buildings, Carriage & coaches, Street railroad, Streets",Edmonton Public Library,1919,EA-0-11,"Includes: Morris Block, LaRue & Picard Block, Fraser Block, Hutchings Block, Gariepy Block, Empire Block, Dominion Bank, Canadian Bank of Commerce, Bank of Montreal, Selkirk Hotel and First Presbyterian Church. Also trolley bus and horse & buggies on Jasper Avenue.",https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDk1MDY=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MzA4NzY=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
Title based on content of image.,Photographs,,unknown,Civic Block - Edmonton,Buildings,,[ca. 1932],EA-0-2,"99 Street and 102 Avenue.
Capitol Feed & Poultry Supply business beside the Civic Block.",https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDk1MDc=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MzA4Nzk=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
Title based on content of image.,Photographs,,unknown,Jasper Avenue Looking East From 101 Street,Buildings,,[ca. 1932],EA-0-3,"Street scene with streetcars and cars. Includes Guarantee Trust Co., C.P.R. Building, Agency Building, Williamson building, Capital Theatre, Mike's Newstand, Canadian Bank of Commerce, Imperial Bank and Bank of Montreal.",https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDk1MDg=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MzA4ODA=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
Title based on content of image.,Photographs,,unknown,Subway - 97 Street,Streets,,[ca. 1932],EA-0-6,9530 - 101A Avenue. Includes Alberta Feed Co.,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDk1MTE=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MzA4ODM=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Memorial Parade for Edward VII,,,"May 20, 1910",EA-10-1009,"Business - Barber Shop - Jewellry Store - Hallier & Aldridge, Bakery - Macdonald Pharmacy - Edmonton Sporting Goods - Sugarman (W.) Merchant Parades Military - Cadets Streets - Jasper Avenue",https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1Mjk=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY2ODA=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Memorial Parade for Edward VII,,,"May 20, 1910",EA-10-1010,"Banks - Canadian Bank of Commerce Business - Hallier & Aldridge, Bakers - Macdonald Pharmacy - Edmonton Sporting Goods - Sugarman, (W.) Merchant Streets - Jasper Avenue Flags - Half-Mast Parades 101st Fusiliers Band",https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1MzE=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY2ODI=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Memorial Parade for Edward VII,,,"May 20, 1910",EA-10-1011,Banks - Canadian Bank of Commerce Business - Hallier & Aldridge - Macdonald Pharmacy - Edmonton Sporting Goods - Sugarman W. Merchant Flags - Half-mast Streets - Jasper Avenue Military - 101st Fusiliers,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1MzI=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY2ODM=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Jasper Avenue at 101 Street,,,1918,EA-10-1012,Buildings - Empire Block - Molsons Bank Building - National Trust Building Banks - Molsons Bank - Bank of Nova Scotia Businesses - Campbell Furniture Co. Streets - Jasper Avenue - 101 Street Transportation - Horse & Wagon - Streetcar,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1MzM=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY2ODQ=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid #18913,Edmonton Fire Dept. - Fire Hall #1 & City Annex,,,1956,EA-10-1013,Buildings - Firehall #1 - City Annex Streets - Jasper Avenue - 101A Street Transportation - Cars,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1MzQ=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY2ODU=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Fort Saskatchewan Dennis Avenue,,,1905,EA-10-1026,Business - Wilkin & Co. - Grocer - Sutherland Drugs - Hardware Store Church - Fort Saskatchewan Transportation - Horse & Buggy Streets - Dennis Ave. Ft. Sask.,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1NDg=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY2OTk=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
